timestamp,x,y,z
2025-03-18 15:38:21.791017+00:00,15.38,-1.53,0.43
2025-03-18 15:57:26.560616+00:00,9.64,10.93,-6.35
2025-03-18 15:35:07.229379+00:00,0.0,0.06,0.37
2025-03-18 15:40:03.266567+00:00,-0.24,0.67,0.18
2025-03-18 15:54:12.368758+00:00,243.65,-244.38,-145.39
2025-03-18 15:41:20.175475+00:00,-0.18,0.18,0.0
2025-03-18 15:48:27.280512+00:00,0.12,0.12,0.0
2025-03-18 15:49:45.380840+00:00,-0.12,0.37,-0.06
2025-03-18 15:51:19.723158+00:00,1.83,-5.25,19.17
2025-03-18 15:37:13.511937+00:00,-13.43,3.3,11.78
2025-03-18 15:50:55.555033+00:00,-0.18,-0.49,0.18
2025-03-18 15:54:16.160017+00:00,191.04,445.98,-192.87
2025-03-18 15:33:59.028583+00:00,1.59,-0.92,-0.85
2025-03-18 15:41:02.074187+00:00,-0.85,-1.04,0.61
2025-03-18 15:57:54.628947+00:00,0.06,0.06,0.0
2025-03-18 15:33:55.041519+00:00,2.14,0.92,0.43
2025-03-18 15:50:39.583946+00:00,0.06,0.12,0.06
2025-03-18 15:40:26.248235+00:00,0.06,-1.16,0.0
2025-03-18 15:50:47.573541+00:00,19.35,11.23,10.44
2025-03-18 15:57:14.530502+00:00,0.37,0.55,0.0
2025-03-18 15:41:42.173648+00:00,-1.4,1.16,0.0
2025-03-18 15:38:35.715323+00:00,0.24,0.37,-0.18
2025-03-18 15:38:39.723844+00:00,1.65,-1.1,-0.37
2025-03-18 15:52:27.818425+00:00,-102.36,-117.19,643.07
2025-03-18 15:41:24.162889+00:00,2.62,0.18,-0.67
2025-03-18 15:34:21.173113+00:00,-0.24,0.24,0.18
2025-03-18 15:34:05.071916+00:00,-1.83,-0.18,-0.43
2025-03-18 15:34:03.126325+00:00,0.24,-0.98,-2.87
2025-03-18 15:49:15.360385+00:00,0.12,0.12,0.0
2025-03-18 15:56:24.406300+00:00,0.18,-0.37,0.0
2025-03-18 15:39:35.925807+00:00,1.46,0.55,1.04
2025-03-18 15:34:23.077291+00:00,0.0,0.18,0.06
2025-03-18 15:56:00.562429+00:00,0.12,0.12,-0.06
2025-03-18 15:37:37.653369+00:00,0.24,0.61,-0.31
2025-03-18 15:35:31.293861+00:00,0.61,0.12,0.43
2025-03-18 15:57:44.616567+00:00,-0.24,0.18,0.12
2025-03-18 15:40:24.065722+00:00,-0.37,1.04,0.55
2025-03-18 15:50:13.468506+00:00,0.12,0.12,0.06
2025-03-18 15:54:50.165463+00:00,88.07,342.16,-17.21
2025-03-18 15:41:34.402420+00:00,0.73,0.24,0.24
2025-03-18 15:57:56.634951+00:00,0.0,0.18,0.0
2025-03-18 15:58:20.697012+00:00,-61.89,160.03,-330.08
2025-03-18 15:40:56.106330+00:00,0.79,0.18,-0.18
2025-03-18 15:48:05.162057+00:00,0.61,7.45,25.63
2025-03-18 15:49:33.433186+00:00,0.12,0.18,0.06
2025-03-18 15:38:09.653322+00:00,1.4,0.98,-0.73
2025-03-18 15:40:50.063359+00:00,3.36,3.3,-1.34
2025-03-18 15:55:38.294898+00:00,336.06,127.5,-19.35
2025-03-18 15:38:31.706086+00:00,-0.67,1.59,-0.18
2025-03-18 15:40:52.049104+00:00,0.55,-0.31,0.12
2025-03-18 15:36:15.363672+00:00,-0.61,0.24,-0.43
2025-03-18 15:58:14.734850+00:00,1.34,-0.18,-0.12
2025-03-18 15:38:33.940176+00:00,-0.85,0.98,-0.73
2025-03-18 15:36:19.419053+00:00,0.73,0.18,0.12
2025-03-18 15:48:51.345930+00:00,0.18,0.18,0.06
2025-03-18 15:40:30.001474+00:00,0.31,-0.06,0.18
2025-03-18 15:55:34.279826+00:00,-89.23,-79.83,20.57
2025-03-18 15:48:45.307077+00:00,0.12,0.18,0.06
2025-03-18 15:52:21.880450+00:00,145.32,-160.64,-212.65
2025-03-18 15:36:27.406925+00:00,-0.92,0.43,0.55
2025-03-18 15:38:23.682856+00:00,1.89,0.85,-0.49
2025-03-18 15:41:10.133027+00:00,1.65,-0.24,0.24
2025-03-18 15:35:37.268069+00:00,0.18,0.0,0.12
2025-03-18 15:40:59.177174+00:00,36.93,2.81,-5.31
2025-03-18 15:55:46.312674+00:00,0.12,-0.12,0.12
2025-03-18 15:57:58.639995+00:00,-0.12,0.12,0.0
2025-03-18 15:53:36.222032+00:00,1.53,0.06,-0.06
2025-03-18 15:40:20.265346+00:00,0.18,-0.49,0.12
2025-03-18 15:49:13.360556+00:00,0.98,0.43,0.18
