x,y,z,timestamp
0.18,0.18,0.06,1742283535.6379087
0.0,0.12,0.06,1742283537.715097
0.12,0.18,0.06,1742283539.6599283
0.12,0.12,0.06,1742283542.0139208
0.24,0.12,0.06,1742283543.7956464
0.06,0.12,0.06,1742283545.6999793
0.0,0.12,0.06,1742283547.7519352
0.06,0.12,0.06,1742283549.693654
0.18,0.12,0.06,1742283551.6759655
0.0,0.12,0.06,1742283553.6657767
0.24,0.18,0.06,1742283556.0352628
0.18,0.18,0.0,1742283557.7851791
0.12,0.12,0.06,1742283560.0380533
0.0,0.12,0.06,1742283561.8802483
0.12,0.12,0.06,1742283563.7222471
0.12,0.12,0.06,1742283565.7057
0.12,0.12,0.06,1742283567.737584
0.06,0.18,0.06,1742283569.7368789
0.12,0.12,0.06,1742283571.811421
0.06,0.06,0.12,1742283573.758575
0.12,0.18,0.06,1742283575.8070848
0.12,0.12,0.0,1742283578.3645537
0.18,0.12,0.06,1742283579.7273755
0.18,0.18,0.06,1742283581.7607346
0.06,0.12,0.06,1742283583.7727308
0.06,0.18,0.06,1742283585.8387828
0.12,0.12,0.06,1742283587.891237
0.12,0.12,0.06,1742283589.8004391
0.18,0.18,0.06,1742283591.7767408
0.18,0.18,0.06,1742283593.8266351
0.06,0.12,0.06,1742283596.097392
0.12,0.12,0.06,1742283597.821648
0.12,0.12,0.06,1742283599.8746905
0.12,0.12,0.06,1742283601.7955706
0.18,0.24,0.06,1742283603.8167963
-0.12,0.12,0.06,1742283605.9108765
0.12,0.12,0.12,1742283608.0169332
0.18,0.12,0.06,1742283614.6256514
0.18,0.18,0.06,1742283614.9158857
0.49,0.18,0.0,1742283615.0449345
0.12,0.18,0.06,1742283615.8377004
0.06,0.18,0.06,1742283617.8349533
-0.06,0.12,0.06,1742283619.8506362
0.12,0.12,0.06,1742283621.8712242
0.18,0.12,0.06,1742283623.9356196
0.06,0.12,0.06,1742283625.8789837
0.24,0.12,0.06,1742283627.9549913
-0.12,0.12,0.06,1742283629.97754
0.12,0.12,0.06,1742283632.2280266
0.12,0.12,0.06,1742283633.8915553
0.06,0.12,0.06,1742283636.052397
0.06,0.12,0.06,1742283637.9618092
0.18,0.18,0.06,1742283639.9209554
0.06,0.18,0.06,1742283641.9177866
0.06,0.12,0.06,1742283643.943398
0.18,0.18,0.06,1742283645.9490814
0.06,0.18,0.0,1742283648.0282576
0.12,0.12,0.0,1742283650.1522784
0.12,0.18,0.06,1742283651.9906378
0.12,0.12,0.06,1742283654.0386362
0.12,0.18,0.06,1742283656.0571117
0.12,0.18,0.06,1742283658.0344772
0.12,0.12,0.06,1742283660.182595
0.06,0.12,0.06,1742283661.9559968
0.06,0.12,0.06,1742283663.9724877
-0.06,0.12,0.06,1742283666.019677
0.12,0.12,0.06,1742283668.3684814
0.24,0.18,0.06,1742283670.014137
0.12,0.12,0.0,1742283672.0620673
0.12,0.12,0.0,1742283674.0063434
0.06,0.12,0.06,1742283675.9972668
0.18,0.12,0.06,1742283678.1082568
0.12,0.12,0.06,1742283680.0488877
0.06,0.12,0.06,1742283682.1983635
0.12,0.12,0.06,1742283684.0167336
0.18,0.12,0.06,1742283686.3009336
0.06,0.18,0.06,1742283688.0360253
0.12,0.12,0.06,1742283690.0174515
0.18,0.18,0.06,1742283692.1304088
0.12,0.12,0.06,1742283694.0354261
0.12,0.12,0.06,1742283696.065099
0.12,0.12,0.06,1742283698.1774237
0.18,0.12,0.0,1742283702.7382545
0.12,0.18,0.06,1742283702.8859594
0.12,0.12,0.06,1742283704.316357
0.12,0.18,0.06,1742283706.0785377
0.12,0.12,0.06,1742283708.0780864
0.12,0.18,0.06,1742283710.1119237
0.12,0.12,0.06,1742283712.076237
0.12,0.12,0.06,1742283714.0853426
0.18,0.18,0.06,1742283716.1958964
0.43,0.12,0.18,1742283718.1403592
0.37,0.18,0.06,1742283720.1893947
0.12,0.12,0.06,1742283722.5576425
0.06,0.12,0.06,1742283724.1339986
0.12,0.12,0.06,1742283726.2318842
0.12,0.12,0.06,1742283728.2785418
0.06,0.12,0.06,1742283730.225104
0.12,0.18,0.0,1742283732.170948
-0.18,0.06,0.12,1742283734.2186706
0.06,0.12,0.06,1742283736.1375206
0.12,0.12,0.06,1742283738.212997
0.06,0.12,0.06,1742283740.4429004
0.12,0.18,0.06,1742283742.2054949
